,AP1Amplitude,AP2Amplitude,AP12AmplitudeDrop,AP12AmplitudeChangePercent,AP1SSAmplitudeChange,AP1WidthHalfHeight,AP2WidthHalfHeight,AP12HalfWidthChangePercent,AP1WidthPeakToTrough,AP2WidthPeakToTrough,AP1RateOfChangePeakToTrough,AP2RateOfChangePeakToTrough,AP12RateOfChangePeakToTroughPercentChange,AP1AHPDepth,AP2AHPDepth,AP12AHPDepthPercentChange,AP1DelayMean,AP2DelayMean,AP1DelaySD,AP2DelaySD,AP1DelayMeanStrongStim,AP2DelayMeanStrongStim,AP1DelaySDStrongStim,AP2DelaySDStrongStim,Burst1ISIMean,Burst1ISIMeanStrongStim,Burst1ISISD,Burst1ISISDStrongStim,InitialAccommodationMean,SSAccommodationMean,AccommodationRateToSS,AccommodationAtSSMean,AccommodationRateMeanAtSS,ISIMedian,ISICV,ISIBurstMeanChange,SpikeRateStrongStim,InputResistance,SteadyStateAPs,FrequencyPassAbove,FrequencyPassBelow,RampFirstSpike
NMLCL000198,86.4232400007894,79.9781599977151,2.7625601373415734,-2.899865759495529,2.684044006722582,0.6996944006621268,0.7110672772027734,1.829881458375757,2.0047465713148185,2.032277185168639,-4.541974786712681,-4.457813309463764,-2.984971359750119,4.112956779738623,4.135221596099283,1.8358371463897205,2.8238629889463067,5.06034476604896,0.0,0.0,2.0707514986427458,3.9860970266483986,0.0,0.0,5.897982813252083,3.9605426682534834,2.8421709430404e-14,0.0,-33.3333333333333,-33.3333333333333,-0.21352751928894873,-74.3761654340342,3.1791303340432004,6.29822132619553,2.3011672515010564,6.59128238277218,3.2259365392535724,7.705359895633095,0.0,4.216192878969989,5.799909457150003,8.543549013774403
NMLCL000199,85.8930602868846,80.7539600050895,2.552036749130587,-2.6930505117335497,2.554223406213058,0.6996944006621268,0.7110672772027734,1.829881458375746,2.0620032877986256,2.08516390021137,-4.469661044505181,-4.398429244058743,-2.8340705119577394,4.102291888219124,4.108339733894867,0.8838796012483805,2.8347410940986575,4.9380680976710805,0.0,0.0,2.0707514986427458,3.9762126757243377,0.0,0.0,5.831375038367549,3.9412745007470167,2.8421709430404e-14,0.0,-66.6666666666667,-33.3333333333333,-0.22636962208076822,-76.9263304016563,3.1791303340432004,6.265587409327087,2.270115101848404,6.707190308676012,3.2259365392535724,7.6613981376593605,0.0,4.216192878969989,5.799909457150003,8.533840524758846
NMLCL000200,85.9364800006506,80.2890600055629,2.63931905031976,-2.7807873063804145,2.610157444601697,0.6996944006621268,0.7110672772027734,1.8298814583757534,2.032277185168606,2.0561283385166913,-4.5046801537000105,-4.42863170477007,-2.893148688010358,4.106099514669971,4.115207185161187,1.144853178468467,2.8320326414187744,4.999988765066701,0.0,0.0,2.073650644252321,3.9818114823371524,0.0,0.0,5.869225632556652,3.9512871359081125,2.8421709430404e-14,0.0,-66.6666666666667,-33.3333333333333,-0.2189766406840146,-75.7349033945115,3.1791303340432004,6.284488261709322,2.2842069109554246,6.655768656651934,3.2259365392535724,7.678801645725119,0.0,4.216192878969989,5.799909457150003,8.536088978068468
NMLCL000201,86.266954284517,80.5535899925701,2.650103729874068,-2.78807838415208,2.6173577333919864,0.6996944006621268,0.6996944006621268,2.908784324517868e-14,2.102188995382009,2.1244474115744265,-4.423269638911166,-4.350074658674276,-2.859284855076156,4.083494085479981,4.098803012622177,1.5288793938886305,2.8468391630389998,4.835791803537084,0.0,0.0,2.0794238415231776,3.964920135882776,0.0,0.0,5.750791317102617,3.922083775727213,0.0,0.0,-33.3333333333333,-33.3333333333333,-0.24279265512918619,-78.7202154576081,3.1791303340432004,6.231761956019227,2.249533286959755,6.766577187406963,3.270649533838184,7.614868703244604,0.0,4.216192878969989,5.799909457150003,8.533953746868919
NMLCL000202,84.4068999991754,75.07650285582,3.112805390892784,-3.2753670765517326,3.1401477797598525,0.6647784926013732,0.6996944006621268,2.8819017062277084,1.843556433835777,1.8793474625814288,-4.6824858662506506,-4.543743449053735,-3.4374701479524665,3.987212649398209,3.9581741561733073,-2.043137987799892,2.5557796438474507,4.517253241641535,0.0,0.0,1.7277889378648996,3.7734215233084503,0.0,0.0,4.754406334048677,3.727415983747807,0.0,0.0,-50.0,-25.0,-0.19326991378443198,-83.1888837503556,5.507817165362273,5.869062995805498,2.262553444353656,5.365720488510756,3.602506078103847,6.008255850828911,0.0,4.388000685372544,4.745993334256141,8.526540141568907
NMLCL000203,79.0406511109498,74.1805741169547,2.5006766787462276,-2.718542217198788,2.689495988736458,0.7872494493151819,0.7976738711822781,1.6915795991410378,2.038293517455166,2.104998542773954,-4.36651888020055,-4.243748024239193,-3.3302270815945034,3.7962110985831674,3.809442449873311,1.4200498447607952,2.8938188570395553,4.425692957454579,0.0,0.0,1.9440113474720209,3.733490231323881,0.0,0.0,4.2956753962221255,3.661600106902174,0.0,0.0,-40.0,-40.0,-0.2676413566408555,-88.4625059132814,5.641027181181558,5.764536558758699,2.127432604876654,3.8982863784763726,3.537692617344711,6.329792484426827,0.0,4.216192878969989,5.17409691811967,8.47302719814674
NMLCL000204,79.8609266657252,73.1633066663997,2.798612116395419,-3.011156187099938,2.896239013206073,0.7334322069386089,0.7660688243043056,2.753491976070037,2.262977766715543,2.2936456499715354,-4.159067882450595,-4.064091668936228,-3.0998112939825937,3.966088104466526,3.9879787504185136,1.8236625218286748,2.8835680008554254,4.538398679192713,0.0,0.0,2.0561283385166913,3.848306437594391,0.0,0.0,4.875403217652291,3.7689150515698877,0.0,0.0,-25.0,-50.0,-0.3196497904482166,-85.0077344221823,5.575634277484664,5.96575959207656,2.1880223048650116,5.8047816709913755,3.431843133413067,6.437382135106454,0.0,4.216192878969989,5.18055577712034,8.504290340907449
NMLCL000205,80.7069400005835,74.5217173317739,2.7240548368408835,-2.9256618346639214,2.8335650959985563,0.7444298548911031,0.7660688243043056,2.3602976356836534,2.0047465713148185,2.050218670132272,-4.437249720184222,-4.322986482906278,-3.2642392486963256,3.876352088336757,3.8750091911221003,-0.27425184272980085,2.7661760140829084,4.423210149237891,0.0,0.0,1.8828571069044753,3.7449850546348338,0.0,0.0,4.364041984143569,3.6806435085059777,0.0,0.0,-40.0,-40.0,-0.23437503379904884,-87.4739824882222,5.55365244220054,5.809484598859184,2.1682130935454493,4.248480434528708,3.537692617344711,6.375241482153418,0.0,4.216192878969989,5.199087194186549,8.4910099974422
NMLCL000206,81.8849333330218,75.2471466624194,2.790187207795419,-2.978855633943518,2.9556063245725173,0.7110672772027734,0.7110672772027734,-5.68434188608064e-14,1.7318717518724809,1.7520394627819296,-4.778071585681469,-4.686609629464256,-3.0585306367113896,3.9231658174300037,3.916622126226509,-0.9290586236948186,2.7034154271113673,4.371341436984713,0.0,0.0,1.6512956360018183,3.663373230944723,0.0,0.0,4.251572005383541,3.6226971193213595,0.0,0.0,-50.0,-50.0,-0.4147807230778168,-87.4535538744743,5.637775818259849,5.61193073179194,2.1498536683741265,3.6063353063850183,3.6924716195553717,5.833299189308586,0.0,4.216192878969989,4.934093116411791,8.47846564819867
NMLCL000207,73.1070000002924,67.5394133351204,2.626105352385583,-2.9196998820721802,2.946875330309103,0.8482257012382937,0.8580364872426698,1.6034146364593997,2.4601886832303825,2.6446617952173623,-3.7630648777035356,-3.512436521213646,-3.975161157591003,3.344208086387297,3.4096413199861626,2.841412810008424,3.082614693895732,4.452336338423193,0.0,0.0,2.085163900211402,3.7072746478124983,0.0,0.0,4.241354144281921,3.6093857083374146,0.0,0.0,-50.0,-33.3333333333333,-0.208599698564003,-88.8641038236174,5.803604749239373,5.66716885018527,2.088721893739906,3.505631011059089,3.663373230944723,6.25754534592829,0.0,4.216192878969989,5.210669574664984,8.459205092435683
