Row,AP1Amplitude,AP2Amplitude,AP12AmplitudeDrop,AP12AmplitudeChangePercent,AP1SSAmplitudeChange,AP1WidthHalfHeight,AP2WidthHalfHeight,AP12HalfWidthChangePercent,AP1WidthPeakToTrough,AP2WidthPeakToTrough,AP1RateOfChangePeakToTrough,AP2RateOfChangePeakToTrough,AP12RateOfChangePeakToTroughPercentChange,AP1AHPDepth,AP2AHPDepth,AP12AHPDepthPercentChange,AP1DelayMean,AP2DelayMean,AP1DelaySD,AP2DelaySD,AP1DelayMeanStrongStim,AP2DelayMeanStrongStim,AP1DelaySDStrongStim,AP2DelaySDStrongStim,Burst1ISIMean,Burst1ISIMeanStrongStim,Burst1ISISD,Burst1ISISDStrongStim,InitialAccommodationMean,SSAccommodationMean,AccommodationRateToSS,AccommodationAtSSMean,AccommodationRateMeanAtSS,ISIMedian,ISICV,ISIBurstMeanChange,SpikeRateStrongStim,InputResistance,PCA1_Cluster,Cluster
1147,65.39877333,64.38361,2.399272808,3.269721358,3.195966616,-0.328504067,-0.301105093,2.816901408,2.48823444,2.485739636,2.080090521,2.076615095,4.696869624,11.93856315,12.43778809,4.974186751,3.819030139,4.405132623,0,0,2.613739522,3.286908235,0,0,3.586985146,2.789937361,0,0,-25,-12.5,-0.033796572,-62.28881538,137.9859086,4.240607069,1.886854396,5.333484115,3.384390263,5.444284192,0,A
1148,60.705006,58.87785026,2.470398222,3.323655043,3.265299676,-0.261364764,-0.248461359,1.315789474,2.577941516,2.823163008,1.971257587,1.749382095,4.464545491,14.50194193,16.3312392,5.030854132,3.856510295,4.495801649,0,0,2.800325477,3.587123545,0,0,3.942843148,3.05941105,0,0,-50,-50,-0.105145837,-85.89557825,156.5425286,5.212813943,1.398504623,5.543867164,3.891820298,5.173302588,0,A
1149,80.63371795,76.77502182,2.628912915,3.38565064,3.301645004,-0.261364764,-0.261364764,0,2.033397603,2.051556338,2.682252807,2.651881871,4.670853938,9.789720648,12.59012285,5.130224561,3.221671912,3.892432356,0,0,1.912501087,2.820783471,0,0,3.202746443,2.370243741,0,0,-30.76923077,-23.07692308,-0.061490909,-60.91127245,177.5190509,3.824502408,1.90158461,5.39974712,3.96081317,4.993506445,0,A
1150,56.00303089,55.967392,2.306142646,3.211463611,3.228211339,-0.328504067,-0.314710745,1.408450704,1.391281903,1.401182974,3.2654106,3.243556817,4.679837082,20.07337464,19.38419684,4.920099506,4.311201729,4.625070848,0,0,3.220474546,3.688379329,0,0,3.272416592,2.731115474,0,0,-33.33333333,-50,-0.120810883,-93.03964431,131.1676434,4.682408966,1.307644982,5.310840919,3.676300672,6.309271399,0,A
1151,67.53744807,59.341136,2.90121894,3.607877999,3.388164446,-0.527632742,-0.446287103,8.620689655,2.524127363,2.735016649,2.117419562,1.834863823,4.406939552,16.37753163,16.51715376,4.950899883,3.696351469,5.230734215,0,0,2.584751985,3.35654863,0,0,4.920126901,2.772276173,0,0,33.33333333,33.33333333,0.185494342,-0.003065686,2915035.45,4.743191484,2.705807018,5.231181848,4.40060302,5.827325679,0,A
1152,79.12801273,79.12988118,2.30239823,3.208800478,3.026356287,-0.713349888,-0.673344553,4.166666667,3.229222117,3.109507288,1.620195324,1.702126263,4.792845169,19.22390505,16.90678963,4.855121085,3.612538221,4.982030037,0,0,2.38416508,4.644775441,0,0,4.558969167,4.410188831,0,0,0,0,0,-2.26E-07,6.730562783,4.371344786,2.680393991,5.170187069,3.135494216,4.663528048,0,A
1153,76.2158,61.61277714,3.202869316,3.782184021,3.616668902,-0.430782916,-0.328504067,10.9375,1.699278616,2.113842968,3.087632264,2.462556994,4.115795498,17.31941317,16.53641372,4.91212978,2.548663616,3.948740588,0,0,1.463255402,2.750470917,0,0,3.637849283,2.461296784,0,0,0,-9.090909091,-0.007418788,-99.94227739,18622831.32,3.727258467,3.064893172,5.304836154,4.700480366,4.408020591,0,A
1154,69.35952733,69.158992,2.322440202,3.220509159,3.095204872,-0.616186139,-0.616186139,0,1.406096988,1.427916036,3.302371084,3.275263616,4.674915447,11.26563743,11.51813333,4.960680278,4.318554212,4.523200623,0,0,3.305053521,3.606041176,0,0,2.836443416,2.315007613,0,0,-61.53846154,-69.23076923,-0.098220571,-91.68573713,326.2798205,4.176078147,1.064727646,5.411386215,3.238678452,6.464389644,0,A
1155,52.15570873,50.22495289,2.47911959,3.348276423,3.468628184,0.122217633,0.122217633,0,2.693274916,2.714032273,1.800038168,1.767255919,4.664723953,17.43161527,18.17869083,4.974906489,3.717466911,4.351825126,0,0,2.583997552,3.488902962,0,0,3.563316231,3.064791809,0,0,-50,-50,-0.099088387,-84.29641302,229.5880354,4.701298213,1.359989627,5.302622469,3.465735903,4.737206385,0,A
1156,0,0,2.302585093,3.208895882,3.049824557,-4.605170186,-4.605170186,0,0,0,0,0,4.700480366,0,0,4.944848276,7.602196622,7.604510941,0,0,7.601712132,7.602795666,0,0,7.602428794,7.602196622,0,0,0,0,0,0,2000,7.602735778,0,5.289868312,0,6.245119111,2,C
1157,70.96250286,62.09857167,2.937251696,3.617457276,3.618375161,-0.527632742,-0.494296322,3.448275862,1.446918983,1.764730797,3.293226497,2.808255799,4.2497729,13.308736,13.31333487,4.945094279,2.97603964,3.738859386,0,0,1.81319475,2.79239135,0,0,3.089677886,2.402882814,0,0,-58.33333333,-58.33333333,-0.14080654,-91.95190117,233.3344762,4.33290204,1.258940322,5.351125152,3.496507561,5.108363085,0,A
1158,70.49373889,68.929728,2.447897766,3.294739764,3.16785418,-0.400477567,-0.356674944,4.545454545,1.495148766,1.617406082,3.230229737,3.053307751,4.53385474,13.53397111,12.61890163,4.89551068,4.216267166,4.543294782,0,0,3.07130346,3.539508997,0,0,3.453315336,2.707049701,0,0,0,0,0,-80.51143303,50.43118195,4.417936585,1.738502741,5.571827578,3.839452313,5.941218977,0,A
1159,76.93428343,74.32533067,2.534407098,3.337294635,3.201917323,-0.415515444,-0.400477567,1.538461538,1.30833282,1.348073148,3.578022145,3.508741449,4.635836583,17.03289403,18.03233333,4.985777146,3.970857791,4.459913173,0,0,2.863343086,3.39718936,0,0,3.520904491,2.54983572,0,0,0,0,0,-19.1777488,592.677873,3.746440565,2.888243828,5.355898652,4.49980967,5.37374392,0,A
1160,0,0,2.302585093,3.208895882,3.049824557,-4.605170186,-4.605170186,0,0,0,0,0,4.700480366,0,0,4.944848276,7.602196622,7.604510941,0,0,7.601712132,7.602795666,0,0,7.602428794,7.602196622,0,0,0,0,0,0,2000,7.602735778,0,5.289868312,0,6.245119111,2,C
1161,58.88888889,58.38344615,2.351893479,3.242984512,3.110498273,-0.314710745,-0.314710745,-1.54E-14,1.619388243,2.899221373,2.922487696,1.63339314,3.509535011,12.34036444,12.33672839,4.944638465,4.621633912,4.954206026,0,0,3.516310189,4.073631521,0,0,3.94167889,4.135806352,0,0,-25,-50,-0.136325217,-82.74883231,99.43879527,5.024603943,1.516991748,5.603983936,2.602689685,5.771024617,0,A
1162,75.17044615,0,4.444654498,4.826325701,4.567282282,-0.597837001,-4.605170186,-100,4.077198403,0,1.13977365,0,2.302585093,48.0985533,0,3.700055262,3.654288009,7.604510941,0,0,2.731766728,7.602795666,0,0,7.602428794,7.602196622,0,0,-100,-100,-1,-100,2000,7.602735778,0,5.289868312,0.405465108,6.246272624,1,B
1163,53.715178,53.03790493,2.36811747,3.258581115,3.076571084,-0.755022584,-0.755022584,0,1.45395301,1.979621206,3.035560347,2.466086146,4.164971881,11.27027111,14.20599461,5.114982839,3.267665989,3.819469024,0,0,2.18492705,2.812410216,0,0,3.302849259,7.602196622,0,0,7.692307692,15.38461538,0.213883156,-48.76229752,0.034234587,3.461037382,2.667891684,5.789679354,0.693147181,5.09054066,0,A
1164,67.26156,0,4.347196549,4.826325701,4.481568759,-0.301105093,-4.605170186,-100,3.829510584,0,1.245083723,0,2.302585093,44.13251997,0,3.700055262,3.352707173,7.604510941,0,0,2.306577114,7.559736656,0,4.55E-13,7.602428794,7.602196622,0,0,-100,-100,-1,-100,2000,7.602735778,0,5.289868312,0.693147181,5.454792918,1,B
1165,47.534608,47.68445346,2.287487145,3.196078238,3.029502011,-0.967584026,-0.967584026,3.00E-14,1.01523068,1.011600912,3.657417166,3.66089227,4.703723589,18.924928,18.63360455,4.933827509,2.729159164,3.402196882,0,0,1.597365331,2.496505786,0,0,2.593013391,2.019558832,0,0,5.714285714,5.714285714,0.171291538,-9.436405111,10.560629,2.687847494,3.977600732,5.314108262,2.602689685,5.344906692,0,A
1166,56.02767333,57.30441607,2.165992708,3.112313283,3.082702736,-0.510825624,-0.494296322,1.694915254,2.231089091,2.130609828,2.25142952,2.385866185,4.83693098,14.61819981,15.91965133,5.006309237,3.700808025,4.328493993,0,0,2.335052283,3.17930305,0,0,3.598270705,2.725562626,0,0,22.22222222,22.22222222,0.211942987,-20.15046383,19.6248746,3.708191765,2.758060432,5.376929979,4.127134385,5.182233192,0,A
1167,47.85414364,49.17293529,2.16116073,3.090855415,2.990332016,-1.049822124,-1.021651248,2.941176471,1.147402453,1.166270937,3.457153856,3.47304209,4.715401524,18.2079379,19.85565042,5.007289424,2.955951404,3.604410297,0,0,1.795087259,2.63905733,0,0,2.851284369,2.135940016,0,0,4.545454545,9.090909091,0.145059982,-25.92987805,0.267212931,3.043807897,3.46476023,5.39055492,4.855928904,5.462768214,0,A
1168,78.28566821,73.50826857,2.693098962,3.429274947,3.257787823,-0.261364764,-0.248461359,1.315789474,2.722610352,2.658159431,1.982555274,2.04128674,4.762303384,10.74964588,15.40751747,5.213739418,3.424262655,4.34536265,0,0,2.262804223,3.094672221,0,0,4.128504414,2.975784636,0,0,0,-20,-0.080684202,-53.6908332,45.68309421,4.501752227,2.149622398,5.637972755,3.449987546,4.43065003,0,A
