,Model_ID,Name
222,NMLCL000301,Layer 2/3 Burst Non-accommodating Bitufted Cell (5)
223,NMLCL000302,Layer 2/3 Burst Non-accommodating Double Bouquet Cell (1)
224,NMLCL000303,Layer 2/3 Burst Non-accommodating Double Bouquet Cell (2)
225,NMLCL000304,Layer 2/3 Burst Non-accommodating Double Bouquet Cell (3)
226,NMLCL000305,Layer 2/3 Burst Non-accommodating Double Bouquet Cell (4)
227,NMLCL000306,Layer 2/3 Burst Non-accommodating Double Bouquet Cell (5)
228,NMLCL000307,Layer 2/3 Burst Non-accommodating Large Basket Cell (1)
229,NMLCL000308,Layer 2/3 Burst Non-accommodating Large Basket Cell (2)
230,NMLCL000309,Layer 2/3 Burst Non-accommodating Large Basket Cell (3)
231,NMLCL000310,Layer 2/3 Burst Non-accommodating Large Basket Cell (4)
232,NMLCL000311,Layer 2/3 Burst Non-accommodating Large Basket Cell (5)
233,NMLCL000312,Layer 2/3 Burst Non-accommodating Martinotti Cell (1)
234,NMLCL000313,Layer 2/3 Burst Non-accommodating Martinotti Cell (2)
235,NMLCL000314,Layer 2/3 Burst Non-accommodating Martinotti Cell (3)
236,NMLCL000315,Layer 2/3 Burst Non-accommodating Martinotti Cell (4)
237,NMLCL000316,Layer 2/3 Burst Non-accommodating Martinotti Cell (5)
238,NMLCL000317,Layer 2/3 Burst Non-accommodating Nest Basket Cell (1)
239,NMLCL000318,Layer 2/3 Burst Non-accommodating Nest Basket Cell (2)
240,NMLCL000319,Layer 2/3 Burst Non-accommodating Nest Basket Cell (3)
241,NMLCL000320,Layer 2/3 Burst Non-accommodating Nest Basket Cell (4)
242,NMLCL000321,Layer 2/3 Burst Non-accommodating Nest Basket Cell (5)
243,NMLCL000322,Layer 2/3 Burst Non-accommodating Neurogliaform Cell (1)
244,NMLCL000323,Layer 2/3 Burst Non-accommodating Neurogliaform Cell (2)
245,NMLCL000324,Layer 2/3 Burst Non-accommodating Neurogliaform Cell (3)
246,NMLCL000325,Layer 2/3 Burst Non-accommodating Neurogliaform Cell (4)
247,NMLCL000326,Layer 2/3 Burst Non-accommodating Neurogliaform Cell (5)
248,NMLCL000327,Layer 2/3 Burst Non-accommodating Small Basket Cell (1)
249,NMLCL000328,Layer 2/3 Burst Non-accommodating Small Basket Cell (2)
250,NMLCL000329,Layer 2/3 Burst Non-accommodating Small Basket Cell (3)
251,NMLCL000330,Layer 2/3 Burst Non-accommodating Small Basket Cell (4)
252,NMLCL000331,Layer 2/3 Burst Non-accommodating Small Basket Cell (5)
253,NMLCL000332,Layer 4 Burst Non-accommodating Bipolar Cell (1)
254,NMLCL000333,Layer 4 Burst Non-accommodating Bipolar Cell (2)
255,NMLCL000334,Layer 4 Burst Non-accommodating Bipolar Cell (3)
256,NMLCL000335,Layer 4 Burst Non-accommodating Bipolar Cell (4)
257,NMLCL000336,Layer 4 Burst Non-accommodating Bipolar Cell (5)
258,NMLCL000337,Layer 4 Burst Non-accommodating Double Bouquet Cell (1)
259,NMLCL000338,Layer 4 Burst Non-accommodating Double Bouquet Cell (2)
260,NMLCL000339,Layer 4 Burst Non-accommodating Double Bouquet Cell (3)
261,NMLCL000340,Layer 4 Burst Non-accommodating Double Bouquet Cell (4)
262,NMLCL000341,Layer 4 Burst Non-accommodating Double Bouquet Cell (5)
263,NMLCL000342,Layer 4 Burst Non-accommodating Martinotti Cell (1)
264,NMLCL000343,Layer 4 Burst Non-accommodating Martinotti Cell (2)
265,NMLCL000344,Layer 4 Burst Non-accommodating Martinotti Cell (3)
266,NMLCL000345,Layer 4 Burst Non-accommodating Martinotti Cell (4)
267,NMLCL000346,Layer 4 Burst Non-accommodating Martinotti Cell (5)
268,NMLCL000347,Layer 4 Burst Non-accommodating Neurogliaform Cell (1)
269,NMLCL000348,Layer 4 Burst Non-accommodating Neurogliaform Cell (2)
270,NMLCL000349,Layer 4 Burst Non-accommodating Neurogliaform Cell (3)
271,NMLCL000350,Layer 4 Burst Non-accommodating Neurogliaform Cell (4)
272,NMLCL000351,Layer 4 Burst Non-accommodating Neurogliaform Cell (5)
273,NMLCL000352,Layer 4 Burst Non-accommodating Small Basket Cell (1)
274,NMLCL000353,Layer 4 Burst Non-accommodating Small Basket Cell (2)
275,NMLCL000354,Layer 4 Burst Non-accommodating Small Basket Cell (3)
276,NMLCL000355,Layer 4 Burst Non-accommodating Small Basket Cell (4)
277,NMLCL000356,Layer 4 Burst Non-accommodating Small Basket Cell (5)
278,NMLCL000357,Layer 5 Burst Non-accommodating Bipolar Cell (1)
279,NMLCL000358,Layer 5 Burst Non-accommodating Bipolar Cell (2)
280,NMLCL000359,Layer 5 Burst Non-accommodating Bipolar Cell (3)
281,NMLCL000360,Layer 5 Burst Non-accommodating Bipolar Cell (4)
282,NMLCL000361,Layer 5 Burst Non-accommodating Bipolar Cell (5)
283,NMLCL000362,Layer 5 Burst Non-accommodating Double Bouquet Cell (1)
284,NMLCL000363,Layer 5 Burst Non-accommodating Double Bouquet Cell (2)
285,NMLCL000364,Layer 5 Burst Non-accommodating Double Bouquet Cell (3)
286,NMLCL000365,Layer 5 Burst Non-accommodating Double Bouquet Cell (4)
287,NMLCL000366,Layer 5 Burst Non-accommodating Double Bouquet Cell (5)
288,NMLCL000367,Layer 5 Burst Non-accommodating Neurogliaform Cell (1)
289,NMLCL000368,Layer 5 Burst Non-accommodating Neurogliaform Cell (2)
290,NMLCL000369,Layer 5 Burst Non-accommodating Neurogliaform Cell (3)
291,NMLCL000370,Layer 5 Burst Non-accommodating Neurogliaform Cell (4)
292,NMLCL000371,Layer 5 Burst Non-accommodating Neurogliaform Cell (5)
293,NMLCL000372,Layer 5 Burst Non-accommodating Small Basket Cell (1)
294,NMLCL000373,Layer 5 Burst Non-accommodating Small Basket Cell (2)
295,NMLCL000374,Layer 5 Burst Non-accommodating Small Basket Cell (3)
296,NMLCL000375,Layer 5 Burst Non-accommodating Small Basket Cell (4)
297,NMLCL000376,Layer 5 Burst Non-accommodating Small Basket Cell (5)
298,NMLCL000377,Layer 6 Burst Non-accommodating Bipolar Cell (1)
299,NMLCL000378,Layer 6 Burst Non-accommodating Bipolar Cell (2)
300,NMLCL000379,Layer 6 Burst Non-accommodating Bipolar Cell (3)
301,NMLCL000380,Layer 6 Burst Non-accommodating Bipolar Cell (4)
302,NMLCL000381,Layer 6 Burst Non-accommodating Bipolar Cell (5)
303,NMLCL000382,Layer 6 Burst Non-accommodating Double Bouquet Cell (1)
304,NMLCL000383,Layer 6 Burst Non-accommodating Double Bouquet Cell (2)
305,NMLCL000384,Layer 6 Burst Non-accommodating Double Bouquet Cell (3)
306,NMLCL000385,Layer 6 Burst Non-accommodating Double Bouquet Cell (4)
307,NMLCL000386,Layer 6 Burst Non-accommodating Double Bouquet Cell (5)
308,NMLCL000387,Layer 6 Burst Non-accommodating Large Basket Cell (1)
